name,lat,lng,type
郫县和万家医院,30.763563344657417,103.95986187222455,医疗保健服务;综合医院;综合医院
郫县犀浦镇芙蓉小区社区卫生服务站,30.764413776370304,103.96214738635226,医疗保健服务;综合医院;卫生院
成飞医院,30.697498585511894,103.95903491739381,医疗保健服务;综合医院;综合医院
犀浦镇社区卫生服务中心,30.76023031907573,103.96279356503949,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所
天康医院,30.75762284628792,103.96218326106938,医疗保健服务;综合医院;综合医院
四川省交通运输厅公路局医院,30.76543901593923,103.96243174090384,医疗保健服务;综合医院;综合医院
郫都区中西医结合医院,30.7601273244658,103.96276054710322,医疗保健服务;综合医院;综合医院
振华医院,30.764837748984093,103.97728436863444,医疗保健服务;综合医院;综合医院
成都青羊成航医院,30.69367537517523,103.97171035716012,医疗保健服务;综合医院;综合医院
珠江路社区卫生服务站,30.76447345389287,103.95883200025375,医疗保健服务;综合医院;卫生院
新华医院,30.751551195204318,103.96575015214735,医疗保健服务;综合医院;综合医院
成都仁一医院-第一住院部,30.71750368717145,103.99936625953643,医疗保健服务;综合医院;综合医院
成都仁一医院-第三住院部,30.716952262981373,103.99955902577244,医疗保健服务;综合医院;综合医院
成都仁一医院-门诊部,30.71759011682452,103.99954416560425,医疗保健服务;综合医院;综合医院
成都济宏医院-DR室,30.71788174630427,103.9997728048064,医疗保健服务;综合医院;综合医院
成都复兴医院,30.753439178494563,103.99386331198023,医疗保健服务;综合医院;综合医院
成都市金牛区金泉金科社区卫生服务站,30.714096467103108,103.98361305327079,医疗保健服务;综合医院;卫生院
成飞医院分诊办公室,30.697691568489876,103.96006969954803,医疗保健服务;综合医院;综合医院
成飞医院-门诊主任办公室,30.697205893999392,103.95989554214472,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-针灸治疗室(女),30.760292190322566,103.96305560553594,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-针灸治疗室(男),30.76007124999572,103.96289155566762,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-洗婴室,30.760137395726414,103.96262453186617,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-五休养室,30.75977432868471,103.96265148914975,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-新生儿听力筛选室,30.760146344243573,103.96272654549736,医疗保健服务;综合医院;综合医院
四川省公路医院-换药室,30.765483747475148,103.96289381211373,医疗保健服务;综合医院;综合医院
郫县和万家医院,30.763563344657417,103.95986187222455,医疗保健服务;综合医院;综合医院
郫县犀浦镇芙蓉小区社区卫生服务站,30.764413776370304,103.96214738635226,医疗保健服务;综合医院;卫生院
成飞医院,30.697498585511894,103.95903491739381,医疗保健服务;综合医院;综合医院
犀浦镇社区卫生服务中心,30.76023031907573,103.96279356503949,医疗保健服务;综合医院;卫生院|医疗保健服务;诊所;诊所
天康医院,30.75762284628792,103.96218326106938,医疗保健服务;综合医院;综合医院
四川省交通运输厅公路局医院,30.76543901593923,103.96243174090384,医疗保健服务;综合医院;综合医院
郫都区中西医结合医院,30.7601273244658,103.96276054710322,医疗保健服务;综合医院;综合医院
振华医院,30.764837748984093,103.97728436863444,医疗保健服务;综合医院;综合医院
成都青羊成航医院,30.69367537517523,103.97171035716012,医疗保健服务;综合医院;综合医院
珠江路社区卫生服务站,30.76447345389287,103.95883200025375,医疗保健服务;综合医院;卫生院
新华医院,30.751551195204318,103.96575015214735,医疗保健服务;综合医院;综合医院
成都仁一医院-第一住院部,30.71750368717145,103.99936625953643,医疗保健服务;综合医院;综合医院
成都仁一医院-第三住院部,30.716952262981373,103.99955902577244,医疗保健服务;综合医院;综合医院
成都仁一医院-门诊部,30.71759011682452,103.99954416560425,医疗保健服务;综合医院;综合医院
成都济宏医院-DR室,30.71788174630427,103.9997728048064,医疗保健服务;综合医院;综合医院
成都复兴医院,30.753439178494563,103.99386331198023,医疗保健服务;综合医院;综合医院
成都市金牛区金泉金科社区卫生服务站,30.714096467103108,103.98361305327079,医疗保健服务;综合医院;卫生院
成飞医院分诊办公室,30.697691568489876,103.96006969954803,医疗保健服务;综合医院;综合医院
成飞医院-门诊主任办公室,30.697205893999392,103.95989554214472,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-针灸治疗室(女),30.760292190322566,103.96305560553594,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-针灸治疗室(男),30.76007124999572,103.96289155566762,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-洗婴室,30.760137395726414,103.96262453186617,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-五休养室,30.75977432868471,103.96265148914975,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-新生儿听力筛选室,30.760146344243573,103.96272654549736,医疗保健服务;综合医院;综合医院
四川省公路医院-换药室,30.765483747475148,103.96289381211373,医疗保健服务;综合医院;综合医院
四川省公路医院-急诊科主任办公室,30.765306984214938,103.9626637258257,医疗保健服务;综合医院;综合医院
四川省公路医院-护士办公室,30.765224993657416,103.96274870958125,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-儿科医生办公室,30.759833255732218,103.96281251590831,医疗保健服务;综合医院;综合医院
郫县中西医结合医院外科门诊,30.760331236178565,103.96297360100556,医疗保健服务;综合医院;综合医院
郫县中西医结合医院儿科门诊,30.76005428023694,103.96282854576776,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-输液室,30.76001027275926,103.96283154043061,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-咨询挂号台,30.759982273983738,103.96282153562085,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-戒烟门诊,30.759856157483636,103.96301054285664,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-中医骨伤科,30.759976161853846,103.96303756117813,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-中医针灸科,30.759971147226725,103.96306456383175,医疗保健服务;综合医院;综合医院
成都康成综合医疗,30.75336944540347,103.97952955825008,医疗保健服务;综合医院;综合医院
郫县中西医结合医院-处置室,30.76001027275926,103.96283154043061,医疗保健服务;综合医院;综合医院
郫县中西医结合医院体检抽血室,30.76032126000112,103.96292559374966,医疗保健服务;综合医院;综合医院
成都中医大学附属医院,30.743449261154435,103.96095032496939,医疗保健服务;综合医院;综合医院
成都玛诗特肿瘤医院,30.74302575426771,103.95974338932857,医疗保健服务;综合医院;三级甲等医院
珠江路社区服务站,30.76447345389287,103.95883200025375,医疗保健服务;综合医院;卫生院
黄田坝成飞社区卫生服务中心(北区),30.703199273502246,103.9638316395318,医疗保健服务;综合医院;卫生院
青羊区黄田坝联工社区日间照料卫生服务中心,30.696958032888883,103.97197244885484,医疗保健服务;综合医院;卫生院
青羊区黄田坝社区卫生服务中心,30.701026294705752,103.96349028794737,医疗保健服务;综合医院;卫生院
青羊区黄田坝清江社区卫生服务站,30.693539508537633,103.97127555330643,医疗保健服务;综合医院;卫生院
黄田坝成飞社区卫生服务中心,30.701007290318266,103.96321028669668,医疗保健服务;综合医院;卫生院
成都中医药大学附属医院,30.742973453608542,103.96005545367039,医疗保健服务;综合医院;综合医院
梓潼村卫生站,30.746276511412727,103.98356685233925,医疗保健服务;综合医院;卫生院
郫县犀浦镇两河村卫生站,30.749741848297525,103.97069415995081,医疗保健服务;综合医院;卫生院
中海国际社区卫生服务站,30.72498070989707,103.96703609577575,医疗保健服务;综合医院;卫生院
郫县中西医结合医院行政办公区,30.76039010778814,103.9632326409462,医疗保健服务;综合医院;卫生院
珠江社区今日花园社区卫生服务站,30.759710900992932,103.9518181677417,医疗保健服务;综合医院;卫生院
成都怡宁医院,30.717553855315586,103.99963222485208,医疗保健服务;综合医院;综合医院
清淳社区卫生服务站,30.70852091969443,103.97456730819056,医疗保健服务;综合医院;卫生院
犀浦第四社区卫生服务站,30.756662541371714,103.96948413241245,医疗保健服务;综合医院;卫生院
文家快活社区卫生服务站,30.689194892511118,103.95827605907263,医疗保健服务;综合医院;卫生院
紫罗兰医院急诊,30.763449354231927,103.95992885081719,医疗保健服务;综合医院;综合医院
